root-logging.INFO-139695664756480-2019-12-11 00:37:35,676-load all representations, len(ufiles)=12, len(vfiles)=12, ufiles=ratings_only_user.dat|URPSRUB_top500_user.dat|URNSRUB_top500_user.dat|UPBCatB_top500_user.dat|UPBStarsB_top500_user.dat|UPBStateB_top500_user.dat|UPBCityB_top500_user.dat|UPBUB_top500_user.dat|UNBUB_top500_user.dat|UUB_top500_user.dat|URPARUB_top500_user.dat|URNARUB_top500_user.dat, vfiles=ratings_only_item.dat|URPSRUB_top500_item.dat|URNSRUB_top500_item.dat|UPBCatB_top500_item.dat|UPBStarsB_top500_item.dat|UPBStateB_top500_item.dat|UPBCityB_top500_item.dat|UPBUB_top500_item.dat|UNBUB_top500_item.dat|UUB_top500_item.dat|URPARUB_top500_item.dat|URNARUB_top500_item.dat
root-logging.INFO-139695664756480-2019-12-11 00:37:35,994-******
{'sn': 1, 'data_dir': 'data/yelp-50k/exp_split/1/', 'topK': 500, 'reg_Q': 1e-05, 'config_filename': 'config/yelp-50k.yaml', 'solver': 'nmAPG', 'L': 12, 'reg_P': 1e-05, 'reg': 0.5, 'log_filename': 'log/fmg_yelp-50k_vary_reg_split1.log', 'N': 240, 'ln': 1000, 'F': 10, 'max_iters': 10000, 'reg_W': 1e-05, 'test_filename': 'ratings_test_1.txt', 'eta': 1e-07, 'meta_graphs': ['ratings_only', 'URPSRUB', 'URNSRUB', 'UPBCatB', 'UPBStarsB', 'UPBStateB', 'UPBCityB', 'UPBUB', 'UNBUB', 'UUB', 'URPARUB', 'URNARUB'], 'initial': 0.001, 'dt': 'yelp-50k', 'exp_type': 'vary_reg', 'eps': 1e-08, 'train_filename': 'ratings_train_1.txt', 'bias': 0, 'bias_eta': 1e-07, 'exp_id': 1575995852, 'K': 10, 'config': 'config/yelp-50k.yaml'}
******
root-logging.INFO-139695664756480-2019-12-11 00:37:35,995-start solving by _block_nonmono_acc_proximal_gradient_descent
root-logging.INFO-139695664756480-2019-12-11 00:38:18,791-exp_id=1575995852, iter=17, (lt1,eta1,lt2,eta2)=(0,5.55991731349224e-07,0,1e-07), obj=1.78120(0.02416466), rmse=1.32785, mae=1.06140, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:21,166-exp_id=1575995852, iter=18, (lt1,eta1,lt2,eta2)=(0,6.115909044841464e-07,0,1e-07), obj=1.73816(0.01790288), rmse=1.31261, mae=1.05358, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:23,528-exp_id=1575995852, iter=19, (lt1,eta1,lt2,eta2)=(0,6.727499949325611e-07,0,1e-07), obj=1.70704(0.01300826), rmse=1.30134, mae=1.04758, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:25,920-exp_id=1575995852, iter=20, (lt1,eta1,lt2,eta2)=(0,7.400249944258173e-07,0,1e-07), obj=1.68483(0.00930889), rmse=1.29312, mae=1.04333, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:28,291-exp_id=1575995852, iter=21, (lt1,eta1,lt2,eta2)=(0,8.140274938683991e-07,0,1e-07), obj=1.66915(0.00660199), rmse=1.28717, mae=1.04014, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:30,686-exp_id=1575995852, iter=22, (lt1,eta1,lt2,eta2)=(0,8.95430243255239e-07,0,1e-07), obj=1.65813(0.00468599), rmse=1.28287, mae=1.03757, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:33,052-exp_id=1575995852, iter=23, (lt1,eta1,lt2,eta2)=(0,9.84973267580763e-07,0,1e-07), obj=1.65036(0.00337786), rmse=1.27975, mae=1.03571, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:35,445-exp_id=1575995852, iter=24, (lt1,eta1,lt2,eta2)=(0,1.0834705943388394e-06,0,1e-07), obj=1.64478(0.00251969), rmse=1.27743, mae=1.03423, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:37,808-exp_id=1575995852, iter=25, (lt1,eta1,lt2,eta2)=(0,1.1918176537727233e-06,0,1e-07), obj=1.64064(0.00197931), rmse=1.27564, mae=1.03355, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:40,175-exp_id=1575995852, iter=26, (lt1,eta1,lt2,eta2)=(0,1.3109994191499957e-06,0,1e-07), obj=1.63739(0.00164805), rmse=1.27421, mae=1.03314, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:42,542-exp_id=1575995852, iter=27, (lt1,eta1,lt2,eta2)=(0,1.4420993610649954e-06,0,1e-07), obj=1.63469(0.00143830), rmse=1.27299, mae=1.03252, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:44,904-exp_id=1575995852, iter=28, (lt1,eta1,lt2,eta2)=(0,1.586309297171495e-06,0,1e-07), obj=1.63234(0.00128177), rmse=1.27193, mae=1.03178, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:47,261-exp_id=1575995852, iter=29, (lt1,eta1,lt2,eta2)=(0,1.7449402268886447e-06,0,1e-07), obj=1.63025(0.00112912), rmse=1.27099, mae=1.03091, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:49,646-exp_id=1575995852, iter=30, (lt1,eta1,lt2,eta2)=(0,1.9194342495775094e-06,0,1e-07), obj=1.62841(0.00095058), rmse=1.27016, mae=1.03007, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:52,008-exp_id=1575995852, iter=31, (lt1,eta1,lt2,eta2)=(0,2.1113776745352604e-06,0,1e-07), obj=1.62686(0.00073657), rmse=1.26947, mae=1.02930, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:54,395-exp_id=1575995852, iter=32, (lt1,eta1,lt2,eta2)=(0,2.3225154419887867e-06,0,1e-07), obj=1.62566(0.00049701), rmse=1.26893, mae=1.02862, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:56,766-exp_id=1575995852, iter=33, (lt1,eta1,lt2,eta2)=(0,2.5547669861876656e-06,0,1e-07), obj=1.62485(0.00025772), rmse=1.26855, mae=1.02843, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:59,126-exp_id=1575995852, iter=34, (lt1,eta1,lt2,eta2)=(0,2.8102436848064324e-06,0,1e-07), obj=1.62444(0.00005303), rmse=1.26833, mae=1.02854, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:01,485-exp_id=1575995852, iter=35, (lt1,eta1,lt2,eta2)=(0,3.091268053287076e-06,0,1e-07), obj=1.62435(0.00008504), rmse=1.26825, mae=1.02876, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:06,143-exp_id=1575995852, iter=36, (lt1,eta1,lt2,eta2)=(0,3.400394858615784e-06,0,1.1e-07), obj=1.62449(0.00000071), rmse=1.26826, mae=1.02900, cost=4.66 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:10,798-exp_id=1575995852, iter=37, (lt1,eta1,lt2,eta2)=(0,3.7404343444773626e-06,0,1.21e-07), obj=1.62449(0.00000078), rmse=1.26826, mae=1.02899, cost=4.65 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:15,466-exp_id=1575995852, iter=38, (lt1,eta1,lt2,eta2)=(0,4.1144777789250995e-06,0,1.3310000000000002e-07), obj=1.62449(0.00000086), rmse=1.26826, mae=1.02899, cost=4.67 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:17,859-exp_id=1575995852, iter=39, (lt1,eta1,lt2,eta2)=(0,4.52592555681761e-06,0,1.3310000000000002e-07), obj=1.62448(0.00000018), rmse=1.26826, mae=1.02899, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:20,228-exp_id=1575995852, iter=40, (lt1,eta1,lt2,eta2)=(0,4.978518112499371e-06,0,1.3310000000000002e-07), obj=1.62448(0.00003862), rmse=1.26824, mae=1.02904, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:22,590-exp_id=1575995852, iter=41, (lt1,eta1,lt2,eta2)=(0,5.476369923749309e-06,0,1.3310000000000002e-07), obj=1.62442(0.00007586), rmse=1.26821, mae=1.02902, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:24,952-exp_id=1575995852, iter=42, (lt1,eta1,lt2,eta2)=(0,6.024006916124241e-06,0,1.3310000000000002e-07), obj=1.62430(0.00009774), rmse=1.26816, mae=1.02892, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:27,327-exp_id=1575995852, iter=43, (lt1,eta1,lt2,eta2)=(0,6.626407607736665e-06,0,1.3310000000000002e-07), obj=1.62414(0.00009889), rmse=1.26810, mae=1.02876, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:29,700-exp_id=1575995852, iter=44, (lt1,eta1,lt2,eta2)=(0,7.289048368510332e-06,0,1.3310000000000002e-07), obj=1.62398(0.00008345), rmse=1.26805, mae=1.02853, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:32,093-exp_id=1575995852, iter=45, (lt1,eta1,lt2,eta2)=(0,8.017953205361366e-06,0,1.3310000000000002e-07), obj=1.62384(0.00006110), rmse=1.26801, mae=1.02837, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:34,476-exp_id=1575995852, iter=46, (lt1,eta1,lt2,eta2)=(0,8.819748525897503e-06,0,1.3310000000000002e-07), obj=1.62374(0.00004130), rmse=1.26799, mae=1.02830, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:36,843-exp_id=1575995852, iter=47, (lt1,eta1,lt2,eta2)=(0,9.701723378487254e-06,0,1.3310000000000002e-07), obj=1.62368(0.00002958), rmse=1.26800, mae=1.02822, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:39,232-exp_id=1575995852, iter=48, (lt1,eta1,lt2,eta2)=(0,1.067189571633598e-05,0,1.3310000000000002e-07), obj=1.62363(0.00002726), rmse=1.26801, mae=1.02813, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:41,633-exp_id=1575995852, iter=49, (lt1,eta1,lt2,eta2)=(0,1.1739085287969579e-05,0,1.3310000000000002e-07), obj=1.62358(0.00003323), rmse=1.26803, mae=1.02804, cost=2.40 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:44,026-exp_id=1575995852, iter=50, (lt1,eta1,lt2,eta2)=(0,1.2912993816766538e-05,0,1.3310000000000002e-07), obj=1.62353(0.00004478), rmse=1.26804, mae=1.02796, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:46,399-exp_id=1575995852, iter=51, (lt1,eta1,lt2,eta2)=(0,1.4204293198443194e-05,0,1.3310000000000002e-07), obj=1.62346(0.00005730), rmse=1.26805, mae=1.02790, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:48,766-exp_id=1575995852, iter=52, (lt1,eta1,lt2,eta2)=(0,1.5624722518287514e-05,0,1.3310000000000002e-07), obj=1.62336(0.00006537), rmse=1.26804, mae=1.02785, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:51,128-exp_id=1575995852, iter=53, (lt1,eta1,lt2,eta2)=(0,1.7187194770116268e-05,0,1.3310000000000002e-07), obj=1.62326(0.00006624), rmse=1.26802, mae=1.02781, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:53,495-exp_id=1575995852, iter=54, (lt1,eta1,lt2,eta2)=(0,1.8905914247127896e-05,0,1.3310000000000002e-07), obj=1.62315(0.00006235), rmse=1.26801, mae=1.02778, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:55,867-exp_id=1575995852, iter=55, (lt1,eta1,lt2,eta2)=(0,2.0796505671840686e-05,0,1.3310000000000002e-07), obj=1.62305(0.00005927), rmse=1.26800, mae=1.02773, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:58,262-exp_id=1575995852, iter=56, (lt1,eta1,lt2,eta2)=(0,2.2876156239024755e-05,0,1.3310000000000002e-07), obj=1.62295(0.00006072), rmse=1.26799, mae=1.02767, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:00,633-exp_id=1575995852, iter=57, (lt1,eta1,lt2,eta2)=(0,2.516377186292723e-05,0,1.3310000000000002e-07), obj=1.62286(0.00006611), rmse=1.26799, mae=1.02758, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:03,006-exp_id=1575995852, iter=58, (lt1,eta1,lt2,eta2)=(0,2.7680149049219957e-05,0,1.3310000000000002e-07), obj=1.62275(0.00007259), rmse=1.26799, mae=1.02748, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:05,372-exp_id=1575995852, iter=59, (lt1,eta1,lt2,eta2)=(0,3.0448163954141954e-05,0,1.3310000000000002e-07), obj=1.62263(0.00007865), rmse=1.26800, mae=1.02737, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:07,741-exp_id=1575995852, iter=60, (lt1,eta1,lt2,eta2)=(0,3.349298034955615e-05,0,1.3310000000000002e-07), obj=1.62250(0.00008532), rmse=1.26799, mae=1.02728, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:10,089-exp_id=1575995852, iter=61, (lt1,eta1,lt2,eta2)=(0,3.684227838451177e-05,0,1.3310000000000002e-07), obj=1.62236(0.00009406), rmse=1.26799, mae=1.02720, cost=2.35 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:12,463-exp_id=1575995852, iter=62, (lt1,eta1,lt2,eta2)=(0,4.052650622296295e-05,0,1.3310000000000002e-07), obj=1.62221(0.00010454), rmse=1.26797, mae=1.02716, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:14,837-exp_id=1575995852, iter=63, (lt1,eta1,lt2,eta2)=(0,4.457915684525925e-05,0,1.3310000000000002e-07), obj=1.62204(0.00011525), rmse=1.26794, mae=1.02716, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:17,216-exp_id=1575995852, iter=64, (lt1,eta1,lt2,eta2)=(0,4.9037072529785175e-05,0,1.3310000000000002e-07), obj=1.62186(0.00012551), rmse=1.26791, mae=1.02719, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:19,582-exp_id=1575995852, iter=65, (lt1,eta1,lt2,eta2)=(0,5.39407797827637e-05,0,1.3310000000000002e-07), obj=1.62165(0.00013561), rmse=1.26787, mae=1.02723, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:21,949-exp_id=1575995852, iter=66, (lt1,eta1,lt2,eta2)=(0,5.933485776104007e-05,0,1.3310000000000002e-07), obj=1.62143(0.00014610), rmse=1.26782, mae=1.02727, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:24,320-exp_id=1575995852, iter=67, (lt1,eta1,lt2,eta2)=(0,6.526834353714408e-05,0,1.3310000000000002e-07), obj=1.62119(0.00015756), rmse=1.26778, mae=1.02729, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:26,694-exp_id=1575995852, iter=68, (lt1,eta1,lt2,eta2)=(0,7.17951778908585e-05,0,1.3310000000000002e-07), obj=1.62094(0.00017000), rmse=1.26775, mae=1.02729, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:29,070-exp_id=1575995852, iter=69, (lt1,eta1,lt2,eta2)=(0,7.897469567994435e-05,0,1.3310000000000002e-07), obj=1.62066(0.00018276), rmse=1.26771, mae=1.02724, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:31,454-exp_id=1575995852, iter=70, (lt1,eta1,lt2,eta2)=(0,8.687216524793879e-05,0,1.3310000000000002e-07), obj=1.62037(0.00019500), rmse=1.26768, mae=1.02716, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:33,828-exp_id=1575995852, iter=71, (lt1,eta1,lt2,eta2)=(0,9.555938177273267e-05,0,1.3310000000000002e-07), obj=1.62005(0.00020626), rmse=1.26765, mae=1.02703, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:36,208-exp_id=1575995852, iter=72, (lt1,eta1,lt2,eta2)=(0,0.00010511531995000595,0,1.3310000000000002e-07), obj=1.61972(0.00021662), rmse=1.26762, mae=1.02690, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:38,592-exp_id=1575995852, iter=73, (lt1,eta1,lt2,eta2)=(0,0.00011562685194500656,0,1.3310000000000002e-07), obj=1.61937(0.00022625), rmse=1.26758, mae=1.02676, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:40,972-exp_id=1575995852, iter=74, (lt1,eta1,lt2,eta2)=(0,0.00012718953713950723,0,1.3310000000000002e-07), obj=1.61900(0.00023461), rmse=1.26755, mae=1.02661, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:43,412-exp_id=1575995852, iter=75, (lt1,eta1,lt2,eta2)=(0,0.00013990849085345798,0,1.3310000000000002e-07), obj=1.61862(0.00022637), rmse=1.26750, mae=1.02645, cost=2.44 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:45,998-exp_id=1575995852, iter=76, (lt1,eta1,lt2,eta2)=(3,5.278747359900969e-05,0,1.3310000000000002e-07), obj=1.61825(0.00022400), rmse=1.26747, mae=1.02632, cost=2.59 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:48,384-exp_id=1575995852, iter=77, (lt1,eta1,lt2,eta2)=(0,5.806622095891066e-05,0,1.3310000000000002e-07), obj=1.61789(0.00014207), rmse=1.26740, mae=1.02602, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:50,757-exp_id=1575995852, iter=78, (lt1,eta1,lt2,eta2)=(0,6.387284305480174e-05,0,1.3310000000000002e-07), obj=1.61766(0.00013048), rmse=1.26747, mae=1.02610, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:55,506-exp_id=1575995852, iter=79, (lt1,eta1,lt2,eta2)=(1,4.9182089152197334e-05,0,1.4641000000000003e-07), obj=1.61787(0.00000379), rmse=1.26747, mae=1.02542, cost=4.75 seconds
root-logging.INFO-139695664756480-2019-12-11 00:40:57,929-exp_id=1575995852, iter=80, (lt1,eta1,lt2,eta2)=(0,5.410029806741707e-05,0,1.4641000000000003e-07), obj=1.61787(0.00034543), rmse=1.26747, mae=1.02542, cost=2.42 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:00,305-exp_id=1575995852, iter=81, (lt1,eta1,lt2,eta2)=(0,5.951032787415878e-05,0,1.4641000000000003e-07), obj=1.61731(0.00033140), rmse=1.26738, mae=1.02524, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:04,990-exp_id=1575995852, iter=82, (lt1,eta1,lt2,eta2)=(0,6.546136066157466e-05,0,1.6105100000000003e-07), obj=1.61677(0.00000080), rmse=1.26747, mae=1.02568, cost=4.68 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:07,429-exp_id=1575995852, iter=83, (lt1,eta1,lt2,eta2)=(1,5.0405247709412494e-05,0,1.6105100000000003e-07), obj=1.61677(0.00003168), rmse=1.26747, mae=1.02568, cost=2.44 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:09,811-exp_id=1575995852, iter=84, (lt1,eta1,lt2,eta2)=(0,5.544577248035375e-05,0,1.6105100000000003e-07), obj=1.61682(0.00018520), rmse=1.26763, mae=1.02604, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:14,496-exp_id=1575995852, iter=85, (lt1,eta1,lt2,eta2)=(0,6.099034972838913e-05,0,1.7715610000000005e-07), obj=1.61652(0.00000286), rmse=1.26730, mae=1.02459, cost=4.68 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:19,181-exp_id=1575995852, iter=86, (lt1,eta1,lt2,eta2)=(0,6.708938470122805e-05,0,1.9487171000000006e-07), obj=1.61652(0.00000311), rmse=1.26730, mae=1.02459, cost=4.68 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:23,929-exp_id=1575995852, iter=87, (lt1,eta1,lt2,eta2)=(1,5.16588262199456e-05,0,2.143588810000001e-07), obj=1.61651(0.00000338), rmse=1.26730, mae=1.02459, cost=4.75 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:26,311-exp_id=1575995852, iter=88, (lt1,eta1,lt2,eta2)=(0,5.6824708841940165e-05,0,2.143588810000001e-07), obj=1.61651(0.00000586), rmse=1.26730, mae=1.02460, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:31,011-exp_id=1575995852, iter=89, (lt1,eta1,lt2,eta2)=(0,6.250717972613419e-05,0,2.357947691000001e-07), obj=1.61652(0.00000647), rmse=1.26730, mae=1.02439, cost=4.70 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:33,430-exp_id=1575995852, iter=90, (lt1,eta1,lt2,eta2)=(1,4.813052838912333e-05,0,2.357947691000001e-07), obj=1.61651(0.00049240), rmse=1.26730, mae=1.02439, cost=2.42 seconds
root-logging.INFO-139695664756480-2019-12-11 00:41:35,826-exp_id=1575995852, iter=91, (lt1,eta1,lt2,eta2)=(0,5.294358122803567e-05,0,2.357947691000001e-07), obj=1.61571(0.00035926), rmse=1.26708, mae=1.02420, cost=2.39 seconds
