root-logging.INFO-139968184391424-2019-12-10 17:24:32,217-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-139968184391424-2019-12-10 17:25:24,561-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140205497603840-2019-12-10 17:48:22,689-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140205497603840-2019-12-10 17:49:13,662-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:53:06,124-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140279567456000-2019-12-10 17:53:56,632-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:54:44,014-iter=31, obj=1984269.0892(2.15%), ls:((6441.4042, 0), (6441.4042, 0)), train_rmse=0.7389, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:45,118-iter=32, obj=1941633.8556(1.64%), ls:((6119.3340, 0), (6119.3340, 0)), train_rmse=0.7327, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:46,266-iter=33, obj=1909802.3169(1.60%), ls:((5813.3673, 0), (5813.3673, 0)), train_rmse=0.7254, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:47,371-iter=34, obj=1879307.4524(1.42%), ls:((5522.6989, 0), (5522.6989, 0)), train_rmse=0.7201, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:48,476-iter=35, obj=1852624.5481(1.27%), ls:((5246.5640, 0), (5246.5640, 0)), train_rmse=0.7140, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:49,580-iter=36, obj=1829031.2406(0.53%), ls:((4984.2358, 0), (4984.2358, 0)), train_rmse=0.7126, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:51,212-iter=37, obj=1819356.3194(2.78%), ls:((7102.5360, 1), (7102.5360, 1)), train_rmse=0.7005, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:54:52,317-iter=38, obj=1768802.4853(1.65%), ls:((6747.4092, 0), (6747.4092, 0)), train_rmse=0.6945, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:53,422-iter=39, obj=1739674.0619(1.47%), ls:((6410.0387, 0), (6410.0387, 0)), train_rmse=0.6881, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:54,576-iter=40, obj=1714134.8439(1.34%), ls:((6089.5368, 0), (6089.5368, 0)), train_rmse=0.6832, time:1.2s
root-logging.INFO-140279567456000-2019-12-10 17:54:55,689-iter=41, obj=1691100.8698(1.31%), ls:((5785.0599, 0), (5785.0599, 0)), train_rmse=0.6775, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:56,792-iter=42, obj=1668996.4068(1.19%), ls:((5495.8069, 0), (5495.8069, 0)), train_rmse=0.6732, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:57,895-iter=43, obj=1649060.9715(1.01%), ls:((5221.0166, 0), (5221.0166, 0)), train_rmse=0.6685, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:59,002-iter=44, obj=1632369.1416(0.36%), ls:((4959.9658, 0), (4959.9658, 0)), train_rmse=0.6676, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:00,595-iter=45, obj=1626461.2788(2.02%), ls:((7067.9512, 1), (7067.9512, 1)), train_rmse=0.6591, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:55:01,738-iter=46, obj=1593598.9807(1.29%), ls:((6714.5536, 0), (6714.5536, 0)), train_rmse=0.6547, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:02,842-iter=47, obj=1573103.9620(1.15%), ls:((6378.8260, 0), (6378.8260, 0)), train_rmse=0.6497, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:03,953-iter=48, obj=1554944.7413(1.03%), ls:((6059.8847, 0), (6059.8847, 0)), train_rmse=0.6461, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:05,056-iter=49, obj=1538875.4025(0.98%), ls:((5756.8904, 0), (5756.8904, 0)), train_rmse=0.6418, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:06,159-iter=50, obj=1523839.9018(0.77%), ls:((5469.0459, 0), (5469.0459, 0)), train_rmse=0.6393, time:1.1s
